slug,delivery_mode,test_alignment,curriculum_coupled,outcome_timing,confidence
murphy_2021,in_person,independent,practice_only,delayed,high
newman_2012,in_person,independent,bundled,immediate,high
nugent_2016,blended,mixed,practice_only,immediate,high
ohare_2019,in_person,independent,bundled,immediate,high
olson_2012,in_person,mixed,bundled,immediate,medium
olson_2017,in_person,mixed,bundled,immediate,high
olson_2020,in_person,mixed,bundled,immediate,high
pcer_2008,in_person,mixed,bundled,immediate,high
portes_2018,in_person,independent,practice_only,immediate,high
powell_2010,blended,mixed,practice_only,immediate,high
prast_2018,in_person,independent,practice_only,immediate,high
quint_2015,in_person,independent,bundled,immediate,high
randel_2016,in_person,independent,practice_only,immediate,high
reinke_2018,in_person,independent,practice_only,immediate,high
resendez_azin_2009,in_person,independent,bundled,immediate,high
resendez_azin_2012,in_person,independent,bundled,immediate,high
robinson_smith_2018,online,independent,bundled,immediate,high
rose_2017,in_person,independent,practice_only,immediate,high
rudd_2017,in_person,independent,bundled,immediate,high
rutherford_2014,not_reported,independent,bundled,immediate,high
savage_2013,in_person,mixed,bundled,immediate,high
schmidt_2020,in_person,independent,practice_only,immediate,high
schneider_2021,blended,independent,bundled,immediate,high
schoen_2020,in_person,mixed,practice_only,immediate,high
shechtman_2019,blended,independent,bundled,immediate,high
simmons_2011,in_person,independent,bundled,immediate,high
sloan_2018,in_person,independent,bundled,immediate,high
smith_2016,in_person,independent,bundled,immediate,high
somers_2010,in_person,independent,bundled,immediate,high
song_2021,blended,independent,practice_only,immediate,high
speckesser_2018,in_person,independent,practice_only,immediate,high
stevens_slavin_1995,in_person,independent,bundled,immediate,high
stokes_2018,in_person,independent,bundled,immediate,high
styles_2014,in_person,independent,bundled,immediate,high
sutherland_2019,in_person,independent,practice_only,immediate,high
taylor_2015,in_person,independent,bundled,immediate,high
thiede_2018,in_person,independent,practice_only,immediate,high
thurston_2016,in_person,independent,bundled,immediate,high
tolan_2020,blended,independent,practice_only,immediate,high
vaughn_2022,in_person,mixed,bundled,immediate,high
vernon_feagans_2013,blended,independent,bundled,immediate,high
vignoles_2015,blended,independent,bundled,immediate,high
wakabayashi_2020,blended,mixed,bundled,immediate,high
west_2016,in_person,independent,practice_only,immediate,high
whittaker_2020,blended,mixed,bundled,immediate,high
wiggins_2017,in_person,independent,bundled,immediate,high
wiggins_2019,in_person,independent,practice_only,immediate,high
wijekumar_2009,in_person,independent,bundled,immediate,high
wijekumar_2017,in_person,mixed,bundled,immediate,high
wolf_2018,online,independent,bundled,immediate,high
worth_2015,in_person,independent,bundled,immediate,high
worth_2017,in_person,independent,practice_only,immediate,high
wright_2020,blended,independent,practice_only,immediate,high
yang_2020,in_person,mixed,not_clear,immediate,medium
