row_id,study,study_s31,study_s32,name_mismatch,report_group,is_multi_arm,assignment_unit,research_design,publication_status,grade_level,ses,targeted_population,tpd_goal,tpd_duration,tpd_trainer,n_principles,coaching,performance_standards,self_regulation,cooperation,full_citation,doi_url,pdf_status,pdf_path,k_effect_sizes,extraction_status,notes
17,Cavalluzzo et al. 2014,Cavalluzzo et al. 2014,Cavalluzzo et al. 2014,0,cavalluzzo et al. 2014,0,School,RCT,Unpublished,3-6,Low SES,All,Comprehensive approaches,Long,Res/Dev,Zero,0,0,0,0,,,todo,,,todo,
18,Clarke et al. 2015,Clarke et al. 2015,Clarke et al. 2015,0,clarke et al. 2015,0,Teacher/Class,RCT,Published,K-2,Average/High SES,All,TPD for curricula,Short,Res/Dev,Zero,0,0,0,0,,,todo,,,todo,
19,Cordray et al. 2012,Cordray et al. 2012,Cordray et al. 2012,0,cordray et al. 2012,0,School,RCT,Unpublished,3-6,Average/High SES,All,TPD for digital tools,Short,Res/Dev,Zero,0,0,0,0,,,todo,,,todo,
20,Coyne et al. 2013,Coyne et al. 2013,Coyne et al. 2013,0,coyne et al. 2013,0,Teacher/Class,RCT,Published,K-2,Low SES,All,TPD for curricula,Short,Res/Dev,One,0,1,0,0,,,todo,,,todo,
21,Culliney et al. 2019,Culliney et al. 2019,Culliney et al. 2019,0,culliney et al. 2019,0,School,RCT,Unpublished,3-6,Average/High SES,All,(P)CK,Short,External,Two,0,1,1,0,,,todo,,,todo,
22,DeCesare et al. 2017,DeCesare et al. 2017,DeCesare et al. 2017,0,decesare et al. 2017,0,Teacher/Class,RCT,Unpublished,Mixed,Low SES,All,Comprehensive approaches,Long,External,Two,1,0,1,0,,,todo,,,todo,
23,Dolfin et al. 2019,Dolfin et al. 2019,Dolfin et al. 2019,0,dolfin et al. 2019,0,School,RCT,Unpublished,Mixed,Low SES,All,TPD for curricula,Long,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
24,Droop et al. 2016,Droop et al. 2016,Droop et al. 2016,0,droop et al. 2016,0,School,RCT,Published,3-6,Average/High SES,All,TPD for curricula,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
25,Drummond et al. 2011,Drummond et al. 2011,Drummond et al. 2011,0,drummond et al. 2011,0,Teacher/Class,RCT,Unpublished,3-6,Not reported,All,TPD for digital tools,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
26,Drummond et al. 2020,Drummond et al. 2020,Drummond et al. 2020,0,drummond et al. 2020,0,School,RCT,Unpublished,Mixed,Low SES,All,(P)CK,Long,Res/Dev,One,1,0,0,0,,,todo,,,todo,
27,Duncan et al. 2018,Duncan et al. 2018,Duncan et al. 2018,0,duncan et al. 2018,0,School,RCT,Unpublished,3-6,Low SES,All,Comprehensive approaches,Short,Res/Dev,Two,0,1,1,0,,,todo,,,todo,
28,Early et al. 2016,Early et al. 2016,Early et al. 2016,0,early et al. 2016,0,School,RCT,Published,7-12,Low SES,All,(P)CK,Long,Res/Dev,Three,1,1,1,0,,,todo,,,todo,
29,Fancsali et al. 2015,Fancsali et al. 2015,Fancsali et al. 2015,0,fancsali et al. 2015,0,School,QED,Unpublished,7-12,Average/High SES,All,(P)CK,Long,Res/Dev,Two,1,0,0,1,,,todo,,,todo,
30,Finkelstein et al. 2010,Finkelstein et al. 2010,Finkelstein et al. 2010,0,finkelstein et al. 2010,0,Teacher/Class,RCT,Unpublished,7-12,Average/High SES,All,(P)CK,Short,Res/Dev,Three,0,1,1,1,,,todo,,,todo,
31,Fong et al. 2015,Fong et al. 2015,Fong et al. 2015,0,fong et al. 2015,0,Student,QED,Unpublished,7-12,Not reported,All,TPD for curricula,Long,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
32,Garet et al. 2008 (study 1),Garet et al. 2008 (study 1),Garet et al. 2008 (study 1),0,garet et al. 2008 (study 1),0,School,RCT,Unpublished,K-2,Low SES,All,(P)CK,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
33,Garet et al. 2008  (study 2),Garet et al. 2008  (study 2),Garet et al. 2008  (study 2),0,garet et al. 2008 (study 2),0,School,RCT,Unpublished,K-2,Low SES,All,(P)CK,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
34,Garet et al. 2011,Garet et al. 2011,Garet et al. 2011,0,garet et al. 2011,0,School,RCT,Unpublished,7-12,Low SES,All,TPD for curricula,Short,External,Zero,0,0,0,0,,,todo,,,todo,
35,Garet et al. 2016,Garet et al. 2016,Garet et al. 2016,0,garet et al. 2016,0,Teacher/Class,RCT,Unpublished,3-6,Average/High SES,All,TPD for curricula,Short,External,One,1,0,0,0,,,todo,,,todo,
36,Gersten et al. 2010,Gersten et al. 2010,Gersten et al. 2010,0,gersten et al. 2010,0,School,RCT,Published,K-2,Average/High SES,All,(P)CK,Short,Res/Dev,One,0,0,1,0,,,todo,,,todo,
37,Gorard et al. 2015,Gorard et al. 2015,Gorard et al. 2015,0,gorard et al. 2015,0,School,RCT,Unpublished,3-6,Average/High SES,All,Comprehensive approaches,Short,Res/Dev,Four,1,1,1,1,,,todo,,,todo,
38,Gore et al. 2021,Gore et al. 2021,Gore et al. 2021,0,gore et al. 2021,1,School,RCT,Published,Mixed,Not reported,All,Comprehensive approaches,Short,Res/Dev,Three,0,1,1,1,,,todo,,,todo,
39,Gore et al. 2021,Gore et al. 2021,Gore et al. 2021,0,gore et al. 2021,1,School,RCT,Published,Mixed,Not reported,All,Comprehensive approaches,Short,Res/Dev,Three,0,1,1,1,,,todo,,,todo,
40,Greenleaf et al. 2011,Greenleaf et al. 2011,Greenleaf et al. 2011,0,greenleaf et al. 2011,0,School,RCT,Published,7-12,High SES,All,Comprehensive approaches,Long,External,Three,0,1,1,1,,,todo,,,todo,
41,Guzmán et al. 2021,Guzmán et al. 2021,Guzmán et al. 2021,0,guzmán et al. 2021,0,School,RCT,Published,K-2,Not reported,All,TPD for curricula,Long,External,Three,1,0,1,1,,,todo,,,todo,
42,Hanley et al. 2016,Hanley et al. 2016,Hanley et al. 2016,0,hanley et al. 2016,0,School,RCT,Unpublished,7-12,Average/High SES,All,(P)CK,Long,External,Four,1,1,1,1,,,todo,,,todo,
43,Hanley et al. 2020,Hanley et al. 2020,Hanley et al. 2020,0,hanley et al. 2020,0,School,RCT,Published,3-6,Low SES,All,(P)CK,Short,External,One,0,0,1,0,,,todo,,,todo,
44,Hanselman et al. 2013,Hanselman et al. 2013,Hanselman et al. 2013,0,hanselman et al. 2013,0,School,RCT,Published,Mixed,Low SES,All,Comprehensive approaches,Long,Res/Dev,Four,1,1,1,1,,,todo,,,todo,
45,Heller et al. 2010,Heller et al. 2010,Heller et al. 2010,0,heller et al. 2010,0,Teacher/Class,RCT,Unpublished,3-6,Low SES,All,TPD for curricula,Short,Res/Dev,Zero,0,0,0,0,,,todo,,,todo,
46,Heller 2012,Heller 2012,Heller 2012,0,heller 2012,0,Teacher/Class,RCT,Unpublished,7-12,Average/High SES,All,(P)CK,Short,Res/Dev,Zero,0,0,0,0,,,todo,,,todo,
47,Herman et al. 2022,Herman et al. 2022,Herman et al. 2022,0,herman et al. 2022,0,Teacher/Class,RCT,Published,Mixed,Low SES,All,Other,Short,External,Four,1,1,1,1,,,todo,,,todo,
48,Hitchcock et al. 2011,Hitchcock et al. 2011,Hitchcock et al. 2011,0,hitchcock et al. 2011,0,Teacher/Class,RCT,Unpublished,3-6,Low SES,All,(P)CK,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
49,Humphrey et al. 2018,Humphrey et al. 2018,Humphrey et al. 2018,0,humphrey et al. 2018,0,School,RCT,Unpublished,K-2,Average/High SES,All,Other,Long,External,One,1,0,0,0,,,todo,,,todo,
50,"Jaciw, Hegseth et al. 2016","Jaciw, Hegseth et al. 2016","Jaciw, Hegseth et al. 2016",0,"jaciw, hegseth et al. 2016",0,Teacher/Class,RCT,Unpublished,7-12,Average/High SES,All,Comprehensive approaches,Short,Res/Dev,Three,0,1,1,1,,,todo,,,todo,
51,"Jaciw, Schellinger et al. 2016","Jaciw, Schellinger et al. 2016","Jaciw, Schellinger et al. 2016",0,"jaciw, schellinger et al. 2016",0,Teacher/Class,RCT,Published,3-6,Low SES,All,TPD for curricula,Short,External,Zero,0,0,0,0,,,todo,,,todo,
52,Jacob 2017,Jacob 2017,Jacob 2017,0,jacob 2017,0,Teacher/Class,RCT,Published,Mixed,Low SES,All,(P)CK,Long,Res/Dev,One,0,0,1,0,,,todo,,,todo,
53,Jacob et al. 2017,Jacob et al. 2017,Jacob et al. 2017,0,jacob et al. 2017,0,Teacher/Class,RCT,Published,3-6,Not reported,All,(P)CK,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
54,James-Burdumy et al. 2010,James-Burdumy et al. 2010,James-Burdumy et al. 2010,0,james-burdumy et al. 2010,1,School,RCT,Unpublished,3-6,Low SES,All,TPD for curricula,Long,Res/Dev,Zero,0,0,0,0,,,todo,,,todo,
55,James-Burdumy et al. 2010,James-Burdumy et al. 2010,James-Burdumy et al. 2010,0,james-burdumy et al. 2010,1,School,RCT,Unpublished,3-6,Low SES,All,TPD for curricula,Long,Res/Dev,Zero,0,0,0,0,,,todo,,,todo,
56,James-Burdumy et al. 2010,James-Burdumy et al. 2010,James-Burdumy et al. 2010,0,james-burdumy et al. 2010,1,School,RCT,Unpublished,3-6,Low SES,All,TPD for curricula,Long,Res/Dev,One,1,0,0,0,,,todo,,,todo,
57,Jay et al. 2017,Jay et al. 2017,Jay et al. 2017,0,jay et al. 2017,0,School,RCT,Unpublished,3-6,Average/High SES,All,Comprehensive approaches,Short,Res/Dev,Three,1,1,1,0,,,todo,,,todo,
58,Jerrim et al. 2015,Jerrim et al. 2015,Jerrim et al. 2015a,1,jerrim et al. 2015,0,School,RCT,Unpublished,3-6,Average/High SES,All,TPD for curricula,Long,Res/Dev,Three,1,1,1,0,,,todo,,,todo,
59,Kitmitto et al. 2018,Kitmitto et al. 2018,Kitmitto et al. 2018,0,kitmitto et al. 2018,0,School,RCT,Unpublished,3-6,Average/High SES,All,(P)CK,Short,External,Zero,0,0,0,0,,,todo,,,todo,
60,Konstantopoulos et al. 2013,Konstantopoulos et al. 2013,Konstantopoulos et al. 2013,0,konstantopoulos et al. 2013,0,School,RCT,Published,3-6,Not reported,All,TPD for digital tools,Short,External,One,0,0,1,0,,,todo,,,todo,
61,Konstantopoulos et al. 2016,Konstantopoulos et al. 2016,Konstantopoulos et al. 2016,0,konstantopoulos et al. 2016,1,School,RCT,Published,3-6,Average/High SES,All,TPD for curricula,Short,External,One,0,0,1,0,,,todo,,,todo,
62,Konstantopoulos et al. 2016,Konstantopoulos et al. 2016,Konstantopoulos et al. 2016,0,konstantopoulos et al. 2016,1,School,RCT,Published,K-2,Average/High SES,All,TPD for curricula,Short,External,One,0,0,1,0,,,todo,,,todo,
63,Kutaka et al. 2017,Kutaka et al. 2017,Kutaka et al. 2017,0,kutaka et al. 2017,0,Teacher/Class,QED,Published,K-2,Not reported,All,(P)CK,Long,Res/Dev,Two,0,0,1,1,,,todo,,,todo,
64,Landry et al. 2014,Landry et al. 2014,Landry et al. 2014,0,landry et al. 2014,0,Teacher/Class,RCT,Published,Pre-k,Low SES,All,Comprehensive approaches,Short,Res/Dev,Three,1,1,1,0,,,todo,,,todo,
65,Landry et al. 2017,Landry et al. 2017,Landry et al. 2017,0,landry et al. 2017,0,Teacher/Class,RCT,Published,Pre-k,Low SES,Specific,Comprehensive approaches,Short,Res/Dev,Four,1,1,1,1,,,todo,,,todo,
66,Landry et al. 2021,Landry et al. 2021,Landry et al. 2021,0,landry et al. 2021,0,Teacher/Class,RCT,Published,Pre-k,Low SES,All,Comprehensive approaches,Short,External,Three,1,1,1,0,,,todo,,,todo,
67,Lang et al. 2009,Lang et al. 2009,Lang et al. 2009,0,lang et al. 2009,1,Student,RCT,Published,7-12,Average/High SES,Specific,TPD for curricula,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
68,Lang et al. 2009,Lang et al. 2009,Lang et al. 2009,0,lang et al. 2009,1,Student,RCT,Published,7-12,Average/High SES,Specific,TPD for curricula,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
69,Lang et al. 2009,Lang et al. 2009,Lang et al. 2009,0,lang et al. 2009,1,Student,RCT,Published,7-12,Average/High SES,Specific,TPD for curricula,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
70,Lesaux et al. 2014,Lesaux et al. 2014,Lesaux et al. 2014,0,lesaux et al. 2014,0,Teacher/Class,RCT,Published,3-6,Average/High SES,Specific,TPD for curricula,Short,External,Zero,0,0,0,0,,,todo,,,todo,
71,Lewis Presser et al. 2015,Lewis Presser et al. 2015,Lewis Presser et al. 2015,0,lewis presser et al. 2015,0,School,RCT,Published,prek,Low SES,All,TPD for curricula,Short,Res/Dev,Two,0,0,1,1,,,todo,,,todo,
72,Little et al. 2014,Little et al. 2014,Little et al. 2014,0,little et al. 2014,0,Teacher/Class,RCT,Published,Mixed,Low SES,All,Other,Short,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
73,Llosa et al. 2016,Llosa et al. 2016,Llosa et al. 2016,0,llosa et al. 2016,0,School,RCT,Published,3-6,Low SES,All,TPD for curricula,Long,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
74,Ludwig & Song 2015,Ludwig & Song 2015,Ludwig & Song 2015,0,ludwig&song 2015,0,School,RCT,Unpublished,Pre-k,Average/High SES,All,Comprehensive approaches,Long,Res/Dev,One,1,0,0,0,,,todo,,,todo,
75,Mattera et al. 2018,Mattera et al. 2018,Mattera et al. 2018,0,mattera et al. 2018,1,School,RCT,Unpublished,Pre-k,Not reported,All,TPD for curricula,Long,Res/Dev,Two,1,1,0,0,,,todo,,,todo,
76,Mattera et al. 2018,Mattera et al. 2018,Mattera et al. 2018,0,mattera et al. 2018,1,School,RCT,Unpublished,Pre-k,Not reported,All,TPD for curricula,Long,Res/Dev,Two,1,1,0,0,,,todo,,,todo,
77,May et al. 2016,May et al. 2016,May et al. 2016,0,may et al. 2016,0,Student,RCT,Unpublished,K-2,Average/High SES,Specific,(P)CK,Short,External,Four,1,1,1,1,,,todo,,,todo,
78,Meyers et al. 2016,Meyers et al. 2016,Meyers et al. 2016,0,meyers et al. 2016,0,School,RCT,Published,7-12,Average/High SES,All,Comprehensive approaches,Long,External,Three,1,1,1,0,,,todo,,,todo,
79,Miller et al. 2017,Miller et al. 2017,Miller et al. 2017,0,miller et al. 2017,0,School,RCT,Unpublished,K-2,Average/High SES,All,Comprehensive approaches,Long,Res/Dev,Four,1,1,1,1,,,todo,,,todo,
80,Motteram et al. 2016,Motteram et al. 2016,Motteram et al. 2016,0,motteram et al. 2016,0,Teacher/Class,RCT,Unpublished,3-6,Average/High SES,All,TPD for curricula,Short,Res/Dev,Zero,0,0,0,0,,,todo,,,todo,
81,Murphy et al. 2020,Murphy et al. 2020,Murphy et al. 2020,0,murphy et al. 2020,0,School,RCT,Published,7-12,Average/High SES,All,TPD for digital tools,Long,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
82,Murphy et al. 2021,Murphy et al. 2021,Murphy et al. 2021,0,murphy et al. 2021,0,School,RCT,Published,3-6,Average/High SES,All,(P)CK,Long,External,Two,1,0,1,0,,,todo,,,todo,
83,Newman et al. 2012,Newman et al. 2012,Newman et al. 2012,0,newman et al. 2012,0,School,RCT,Unpublished,Mixed,Low SES,All,(P)CK,Short,External,One,1,0,0,0,,,todo,,,todo,
84,Nugent et al. 2016,Nugent et al. 2016,Nugent et al. 2016,0,nugent et al. 2016,0,School,RCT,Unpublished,7-12,Not reported,All,(P)CK,Long,Res/Dev,Three,1,1,1,0,,,todo,,,todo,
85,O'Hare et al. 2019,O'Hare et al. 2019,O'Hare et al. 2019,0,o'hare et al. 2019,0,School,RCT,Unpublished,K-2,Average/High SES,All,(P)CK,Short,Res/Dev,Two,0,1,1,0,,,todo,,,todo,
86,Olson et al. 2012,Olson et al. 2012,Olson et al. 2012,0,olson et al. 2012,0,Teacher/Class,RCT,Published,7-12,Low SES,Specific,(P)CK,Long,Res/Dev,One,1,0,0,0,,,todo,,,todo,
87,Olson et al. 2017,Olson et al. 2017,Olson et al. 2017,0,olson et al. 2017,0,Teacher/Class,RCT,Published,7-12,Low SES,All,(P)CK,Long,Res/Dev,One,1,0,0,0,,,todo,,,todo,
88,Olson et al. 2020,Olson et al. 2020,Olson et al. 2020,0,olson et al. 2020,0,Teacher/Class,RCT,Published,7-12,Low SES,All,(P)CK,Short,External,Zero,0,0,0,0,,,todo,,,todo,
89,PCER (2008),PCER (2008),PCER (2008),0,pcer (2008),0,School,RCT,Published,Pre-k,Not reported,All,TPD for curricula,Long,External,Two,1,0,1,0,,,todo,,,todo,
90,Portes et al. 2018,Portes et al. 2018,Portes et al. 2018,0,portes et al. 2018,0,Teacher/Class,RCT,Unpublished,3-6,Not reported,Specific,Comprehensive approaches,Long,Res/Dev,Four,1,1,1,1,,,todo,,,todo,
91,Powell et al. 2010,Powell et al. 2010,Powell et al. 2010,0,powell et al. 2010,0,Teacher/Class,RCT,Published,Pre-k,Not reported,All,(P)CK,Short,External,Three,1,1,1,0,,,todo,,,todo,
92,Prast et al. 2018,Prast et al. 2018,Prast et al. 2018,0,prast et al. 2018,0,School,RCT,Published,Mixed,Not reported,All,Other,Long,External,Zero,1,0,0,1,,,todo,,,todo,
93,Quint et al. 2015,Quint et al. 2015,Quint et al. 2015,0,quint et al. 2015,0,School,RCT,Unpublished,3-6,Average/High SES,All,Comprehensive approaches,Long,Res/Dev,Four,1,1,1,1,,,todo,,,todo,
94,Randel et al. 2016,Randel et al. 2016,Randel et al. 2016,0,randel et al. 2016,0,School,RCT,Published,3-6,Average/High SES,All,TPD for digital tools,Short,Res/Dev,One,0,0,1,0,,,todo,,,todo,
95,Reid et al. 2014,Reid et al. 2014,Reid et al. 2014,0,reid et al. 2014,0,School,QED,Unpublished,K-2,Low SES,All,TPD for curricula,Long,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
96,Reinke et al. 2018,Reinke et al. 2018,Reinke et al. 2018,0,reinke et al. 2018,0,Teacher/Class,RCT,Published,Mixed,Low SES,All,Other,Short,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
97,Resendez & Azin 2009,Resendez & Azin 2009,Resendez &Azin 2009,0,resendez&azin 2009,0,Teacher/Class,RCT,Unpublished,Mixed,Average/High SES,All,TPD for curricula,Long,Res/Dev,Two,1,1,0,0,,,todo,,,todo,
98,Resendez & Azin 2012,Resendez & Azin 2012,Resendez & Azin 2012,0,resendez&azin 2012,0,School,RCT,Unpublished,K-2,Average/High SES,All,TPD for curricula,Short,Res/Dev,Zero,0,0,0,0,,,todo,,,todo,
99,Robinson-Smith et al. 2018,Robinson-Smith et al. 2018,Robinson-Smith et al. 2018,0,robinson-smith et al. 2018,0,School,RCT,Unpublished,Pre-k,Average/High SES,All,(P)CK,Short,External,Three,0,1,1,1,,,todo,,,todo,
100,Rose 2017,Rose 2017,Rose 2017,0,rose 2017,0,School,RCT,Unpublished,3-6,Low SES,All,Comprehensive approaches,Long,Res/Dev,Two,0,0,1,1,,,todo,,,todo,
101,Rudd et al. 2017,Rudd et al. 2017,Rudd et al. 2017,0,rudd et al. 2017,0,School,RCT,Unpublished,3-6,Average/High SES,All,Comprehensive approaches,Short,Res/Dev,Two,1,0,1,0,,,todo,,,todo,
102,Rutherford et al. 2014,Rutherford et al. 2014,Rutherford et al. 2014,0,rutherford et al. 2014,0,School,RCT,Published,3-6,Low SES,All,TPD for digital tools,Short,Res/Dev,Zero,0,0,0,0,,,todo,,,todo,
103,Savage et al. 2013,Savage et al. 2013,Savage et al. 2013,0,savage et al. 2013,0,Teacher/Class,RCT,Published,K-2,Not reported,All,TPD for digital tools,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
104,Schmidt et al. 2020,Schmidt et al. 2020,Schmidt et al. 2020,0,schmidt et al. 2020,0,School,RCT,Unpublished,3-6,Low SES,All,Comprehensive approaches,Long,External,Three,1,1,1,0,,,todo,,,todo,
105,Schneider et al. 2021,Schneider et al. 2021,Schneider et al. 2021,0,schneider et al. 2021,0,School,RCT,Published,7-12,Not reported,All,(P)CK,Short,Res/Dev,One,0,0,1,0,,,todo,,,todo,
106,Schoen et al. 2020,Schoen et al. 2020,Schoen et al. 2020,0,schoen et al. 2020,0,School,RCT,Unpublished,K-2,Low SES,All,(P)CK,Short,Res/Dev,Zero,0,0,0,0,,,todo,,,todo,
107,Shechtman et al. 2019,Shechtman et al. 2019,Shechtman et al. 2019,0,shechtman et al. 2019,0,School,RCT,Published,3-6,Average/High SES,All,TPD for curricula,Long,Res/Dev,Four,1,1,1,1,,,todo,,,todo,
108,Simmons et al. 2011,Simmons et al. 2011,Simmons et al. 2011,0,simmons et al. 2011,0,Teacher/Class,RCT,Published,K-2,Not reported,All,TPD for curricula,Short,Res/Dev,One,0,1,0,0,,,todo,,,todo,
109,Sloan et al. 2018,Sloan et al. 2018,Sloan et al. 2018,0,sloan et al. 2018,0,School,RCT,Unpublished,K-2,Average/High SES,All,Other,Short,Res/Dev,Zero,0,0,0,0,,,todo,,,todo,
110,Smith et al. 2016,Smith et al. 2016,Smith et al. 2016,0,smith et al. 2016,0,School,RCT,Published,K-2,Average/High SES,Specific,TPD for curricula,Short,Res/Dev,Two,1,1,0,0,,,todo,,,todo,
111,Somers et al. 2010,Somers et al. 2010,Somers et al. 2010,0,somers et al. 2010,1,Student,RCT,Unpublished,7-12,Low SES,All,TPD for curricula,Short,Res/Dev,Three,1,1,1,0,,,todo,,,todo,
112,Somers et al. 2010,Somers et al. 2010,Somers et al. 2010,0,somers et al. 2010,1,Student,RCT,Unpublished,7-12,Low SES,All,TPD for curricula,Short,Res/Dev,One,1,0,0,0,,,todo,,,todo,
113,Song et al. 2021,Song et al. 2021,Song et al. 2021,0,song et al. 2021,0,School,RCT,Published,Mixed,Average/High SES,All,(P)CK,Long,External,Two,1,0,1,0,,,todo,,,todo,
114,Speckesser et al. 2018,Speckesser et al. 2018,Speckesser et al. 2018,0,speckesser et al. 2018,0,School,RCT,Unpublished,7-12,Average/High SES,All,Comprehensive approaches,Long,External,Three,0,1,1,1,,,todo,,,todo,
115,Stevens & Slavin 1995,Stevens & Slavin 1995,Stevens & Slavin 1995,0,stevens&slavin 1995,0,School,QED,Published,Mixed,Average/High SES,All,Comprehensive approaches,Short,Res/Dev,Four,1,1,1,1,,,todo,,,todo,
116,Stokes et al. 2018,Stokes et al. 2018,Stokes et al. 2018,0,stokes et al. 2018,0,School,RCT,Unpublished,K-2,Average/High SES,All,(P)CK,Short,External,One,1,0,0,0,"Stokes, L., Hudson-Sharp, N., Dorsett, R., Rolfe, H., Anders, J., George, A., Buzzeo, J., & Munro-Lott, N. (2018). Mathematical Reasoning: Evaluation report and executive summary. London: Education Endowment Foundation.",https://d2tic4wvo1iusb.cloudfront.net/documents/projects/Mathematical_Reasoning.pdf?v=1630926416,downloaded,data/fulltext/stokes_2018.pdf,2,done,"IDENTIFIED: EEF Mathematical Reasoning effectiveness trial (Year 2 maths; train-the-trainers via Maths Hubs/NCETM = External trainer; subject=STEM not Reading; primary g=0.08 n.s.)"
117,Styles et al. 2014,Styles et al. 2014,Styles et al. 2014,0,styles et al. 2014,0,Student,RCT,Unpublished,3-6,Average/High SES,All,TPD for curricula,Short,External,One,0,0,1,0,,,todo,,,todo,
118,Sutherland et al. 2019,Sutherland et al. 2019,Sutherland et al. 2019,0,sutherland et al. 2019,0,Teacher/Class,RCT,Unpublished,3-6,Average/High SES,All,TPD for digital tools,Short,Res/Dev,Four,1,1,1,1,,,todo,,,todo,
119,Taylor et al. 2015,Taylor et al. 2015,Taylor et al. 2015,0,taylor et al. 2015,0,School,RCT,Published,7-12,Average/High SES,All,TPD for curricula,Short,Res/Dev,Two,0,1,1,0,,,todo,,,todo,
