es_id,row_id,report_group,study,outcome_subject,grade_band,g,v,se,n_t,n_c,n_clusters,icc_assumed,cluster_adjusted,pretest_adjusted,extraction_method,source_stat,page_ref,extractor,confidence,notes
F0020,10,borman et al. 2021,Borman et al. 2021,Reading,7-12,0.128,0.003528,0.0594,402,261,40,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0021,11,bottge et al. 2014,Bottge et al. 2014,STEM,Mixed,0.2693,0.018414,0.1357,732,509,101,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0022,11,bottge et al. 2014,Bottge et al. 2014,Other,Mixed,0.5478,0.047917,0.2189,1460,1285,99,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0023,11,bottge et al. 2014,Bottge et al. 2014,Reading,Mixed,0.0961,0.020022,0.1415,173,790,68,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0024,12,boylan et al. 2018,Boylan et al. 2018,Other,3-6,0.1416,0.023654,0.1538,740,1296,45,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0025,13,buysse et al. 2010,Buysse et al. 2010,Reading,Pre-k,0.1769,0.007569,0.087,388,548,55,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0026,13,buysse et al. 2010,Buysse et al. 2010,Reading,Pre-k,0.157,0.009604,0.098,800,213,92,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0027,13,buysse et al. 2010,Buysse et al. 2010,Other,Pre-k,0.2058,0.039641,0.1991,1286,359,85,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0028,13,buysse et al. 2010,Buysse et al. 2010,Reading,Pre-k,0.208,0.005446,0.0738,526,759,48,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0029,14,cabell et al. 2011,Cabell et al. 2011,Reading,Pre-k,-0.0455,0.032364,0.1799,868,203,95,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0030,14,cabell et al. 2011,Cabell et al. 2011,Reading,Pre-k,0.0119,0.018523,0.1361,168,248,105,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0031,15,carroll et al. 2020,Carroll et al. 2020,Reading,K-2,0.3176,0.011513,0.1073,531,724,80,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0032,15,carroll et al. 2020,Carroll et al. 2020,Reading,K-2,0.1243,0.005084,0.0713,1103,863,112,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0033,15,carroll et al. 2020,Carroll et al. 2020,Reading,K-2,-0.2656,0.047655,0.2183,1429,966,108,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0034,15,carroll et al. 2020,Carroll et al. 2020,STEM,K-2,0.1993,0.040522,0.2013,835,1260,94,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0035,16,castro et al. 2017,Castro et al. 2017,Reading,Pre-k,0.152,0.036749,0.1917,71,1237,109,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0036,16,castro et al. 2017,Castro et al. 2017,STEM,Pre-k,0.3476,0.016667,0.1291,998,182,118,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0037,16,castro et al. 2017,Castro et al. 2017,Reading,Pre-k,0.2269,0.025408,0.1594,776,173,29,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0038,17,cavalluzzo et al. 2014,Cavalluzzo et al. 2014,STEM,3-6,0.1576,0.012724,0.1128,1017,293,111,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0039,17,cavalluzzo et al. 2014,Cavalluzzo et al. 2014,Other,3-6,-0.0071,0.01921,0.1386,1147,1362,42,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0040,17,cavalluzzo et al. 2014,Cavalluzzo et al. 2014,Other,3-6,0.3194,0.024775,0.1574,941,1494,70,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0041,17,cavalluzzo et al. 2014,Cavalluzzo et al. 2014,Reading,3-6,0.2109,0.00567,0.0753,1342,668,88,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0042,18,clarke et al. 2015,Clarke et al. 2015,Reading,K-2,0.2163,0.024398,0.1562,615,705,39,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0043,18,clarke et al. 2015,Clarke et al. 2015,Reading,K-2,0.1875,0.018934,0.1376,1050,1245,64,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0044,18,clarke et al. 2015,Clarke et al. 2015,Reading,K-2,0.1915,0.02271,0.1507,312,408,69,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0045,18,clarke et al. 2015,Clarke et al. 2015,Reading,K-2,0.2034,0.004186,0.0647,278,79,65,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0046,19,cordray et al. 2012,Cordray et al. 2012,STEM,3-6,0.0494,0.005271,0.0726,1192,726,25,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0047,19,cordray et al. 2012,Cordray et al. 2012,STEM,3-6,-0.0068,0.024149,0.1554,394,839,82,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0048,20,coyne et al. 2013,Coyne et al. 2013,Reading,K-2,0.2589,0.034708,0.1863,817,799,104,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0049,20,coyne et al. 2013,Coyne et al. 2013,STEM,K-2,-0.2159,0.023808,0.1543,406,1152,81,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0050,21,culliney et al. 2019,Culliney et al. 2019,Reading,3-6,0.2327,0.00648,0.0805,1150,98,35,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0051,21,culliney et al. 2019,Culliney et al. 2019,Reading,3-6,0.4297,0.033746,0.1837,571,676,54,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0052,22,decesare et al. 2017,DeCesare et al. 2017,STEM,Mixed,0.2324,0.023378,0.1529,1317,408,38,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0053,22,decesare et al. 2017,DeCesare et al. 2017,STEM,Mixed,0.0185,0.004789,0.0692,481,624,109,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0054,23,dolfin et al. 2019,Dolfin et al. 2019,Other,Mixed,0.0885,0.04016,0.2004,107,1226,93,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0055,23,dolfin et al. 2019,Dolfin et al. 2019,Reading,Mixed,-0.0937,0.016796,0.1296,1135,399,31,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0056,23,dolfin et al. 2019,Dolfin et al. 2019,Other,Mixed,-0.0773,0.03467,0.1862,533,313,104,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0057,23,dolfin et al. 2019,Dolfin et al. 2019,STEM,Mixed,-0.05,0.027225,0.165,1175,318,64,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0058,24,droop et al. 2016,Droop et al. 2016,Reading,3-6,-0.0569,0.010774,0.1038,699,1032,40,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0059,24,droop et al. 2016,Droop et al. 2016,Reading,3-6,0.3801,0.01745,0.1321,1381,1046,75,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0060,25,drummond et al. 2011,Drummond et al. 2011,Reading,3-6,0.0384,0.026406,0.1625,1085,1244,69,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0061,25,drummond et al. 2011,Drummond et al. 2011,STEM,3-6,0.1384,0.034188,0.1849,1370,1206,97,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0062,26,drummond et al. 2020,Drummond et al. 2020,Reading,Mixed,-0.0505,0.038298,0.1957,1108,1292,92,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0063,26,drummond et al. 2020,Drummond et al. 2020,Reading,Mixed,-0.0929,0.027027,0.1644,1006,1224,23,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0064,27,duncan et al. 2018,Duncan et al. 2018,Reading,3-6,0.2356,0.044058,0.2099,577,1026,113,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0065,27,duncan et al. 2018,Duncan et al. 2018,Other,3-6,0.2494,0.021668,0.1472,620,1407,100,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0066,27,duncan et al. 2018,Duncan et al. 2018,Reading,3-6,0.1477,0.020022,0.1415,948,1394,108,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0067,27,duncan et al. 2018,Duncan et al. 2018,STEM,3-6,0.0828,0.028832,0.1698,1438,273,110,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0068,28,early et al. 2016,Early et al. 2016,Other,7-12,-0.1409,0.012701,0.1127,398,1382,102,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0069,28,early et al. 2016,Early et al. 2016,Other,7-12,0.0542,0.010774,0.1038,1112,1234,83,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0070,29,fancsali et al. 2015,Fancsali et al. 2015,Other,7-12,-0.1056,0.020335,0.1426,1046,1364,97,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0071,29,fancsali et al. 2015,Fancsali et al. 2015,Reading,7-12,0.1578,0.045753,0.2139,290,188,50,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0072,30,finkelstein et al. 2010,Finkelstein et al. 2010,Reading,7-12,0.0257,0.034633,0.1861,555,587,70,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0073,30,finkelstein et al. 2010,Finkelstein et al. 2010,Reading,7-12,0.051,0.004251,0.0652,62,235,50,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0074,30,finkelstein et al. 2010,Finkelstein et al. 2010,Reading,7-12,0.0867,0.03258,0.1805,1414,502,115,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0075,30,finkelstein et al. 2010,Finkelstein et al. 2010,Reading,7-12,0.0945,0.015401,0.1241,171,881,54,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0076,31,fong et al. 2015,Fong et al. 2015,STEM,7-12,0.1618,0.003672,0.0606,1230,1244,30,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0077,31,fong et al. 2015,Fong et al. 2015,Reading,7-12,0.1145,0.004032,0.0635,131,728,47,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0078,31,fong et al. 2015,Fong et al. 2015,Reading,7-12,-0.004,0.043389,0.2083,767,77,117,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0079,32,garet et al. 2008 (study 1),Garet et al. 2008 (study 1),Reading,K-2,0.367,0.021141,0.1454,900,215,39,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0080,32,garet et al. 2008 (study 1),Garet et al. 2008 (study 1),Reading,K-2,0.2356,0.026179,0.1618,1484,698,96,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0081,32,garet et al. 2008 (study 1),Garet et al. 2008 (study 1),Other,K-2,0.0846,0.036024,0.1898,426,309,37,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0082,32,garet et al. 2008 (study 1),Garet et al. 2008 (study 1),Reading,K-2,0.2545,0.002642,0.0514,77,1297,100,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0083,33,garet et al. 2008 (study 2),Garet et al. 2008  (study 2),Reading,K-2,0.0215,0.020736,0.144,1148,948,39,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0084,33,garet et al. 2008 (study 2),Garet et al. 2008  (study 2),Reading,K-2,0.2313,0.03822,0.1955,1318,151,109,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0085,34,garet et al. 2011,Garet et al. 2011,Reading,7-12,0.0193,0.034188,0.1849,1165,271,27,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0086,34,garet et al. 2011,Garet et al. 2011,Other,7-12,-0.0363,0.003493,0.0591,1343,1270,58,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0087,35,garet et al. 2016,Garet et al. 2016,STEM,3-6,-0.167,0.004134,0.0643,241,595,116,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0088,35,garet et al. 2016,Garet et al. 2016,Reading,3-6,0.0267,0.012499,0.1118,976,161,87,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0089,36,gersten et al. 2010,Gersten et al. 2010,Reading,K-2,-0.1182,0.03752,0.1937,467,1403,103,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0090,36,gersten et al. 2010,Gersten et al. 2010,Reading,K-2,-0.0365,0.010201,0.101,1308,217,115,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0091,36,gersten et al. 2010,Gersten et al. 2010,STEM,K-2,0.0483,0.011837,0.1088,973,1202,21,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0092,36,gersten et al. 2010,Gersten et al. 2010,Reading,K-2,-0.065,0.02247,0.1499,841,1149,38,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0093,37,gorard et al. 2015,Gorard et al. 2015,Reading,3-6,0.0657,0.003481,0.059,272,616,64,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0094,37,gorard et al. 2015,Gorard et al. 2015,Reading,3-6,0.0745,0.002948,0.0543,420,170,59,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0095,37,gorard et al. 2015,Gorard et al. 2015,Reading,3-6,-0.0074,0.003709,0.0609,919,327,59,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0096,37,gorard et al. 2015,Gorard et al. 2015,Reading,3-6,-0.0217,0.005491,0.0741,61,629,112,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0097,38,gore et al. 2021,Gore et al. 2021,Reading,Mixed,0.3756,0.005929,0.077,1304,940,104,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0098,38,gore et al. 2021,Gore et al. 2021,Reading,Mixed,0.3648,0.003505,0.0592,188,1473,101,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0099,38,gore et al. 2021,Gore et al. 2021,Reading,Mixed,0.2777,0.005975,0.0773,967,601,97,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0100,38,gore et al. 2021,Gore et al. 2021,STEM,Mixed,0.2211,0.004789,0.0692,1052,1220,109,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0101,39,gore et al. 2021,Gore et al. 2021,Reading,Mixed,0.0557,0.002873,0.0536,1268,920,93,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0102,39,gore et al. 2021,Gore et al. 2021,STEM,Mixed,0.1952,0.017109,0.1308,1316,839,102,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0103,39,gore et al. 2021,Gore et al. 2021,Reading,Mixed,-0.2616,0.018796,0.1371,1379,160,93,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0104,40,greenleaf et al. 2011,Greenleaf et al. 2011,Reading,7-12,0.2432,0.008836,0.094,1388,473,77,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0105,40,greenleaf et al. 2011,Greenleaf et al. 2011,Reading,7-12,0.0822,0.006384,0.0799,1195,710,36,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0106,41,guzmán et al. 2021,Guzmán et al. 2021,STEM,K-2,0.346,0.020363,0.1427,1166,967,63,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0107,41,guzmán et al. 2021,Guzmán et al. 2021,Reading,K-2,0.3006,0.033379,0.1827,1212,522,111,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0108,41,guzmán et al. 2021,Guzmán et al. 2021,Reading,K-2,0.0831,0.04223,0.2055,545,1054,87,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0109,41,guzmán et al. 2021,Guzmán et al. 2021,STEM,K-2,0.055,0.029309,0.1712,744,286,94,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0110,42,hanley et al. 2016,Hanley et al. 2016,Reading,7-12,0.3953,0.031648,0.1779,138,1469,98,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0111,42,hanley et al. 2016,Hanley et al. 2016,Reading,7-12,0.1734,0.011556,0.1075,1376,152,89,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0112,43,hanley et al. 2020,Hanley et al. 2020,STEM,3-6,0.1522,0.014185,0.1191,731,744,97,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0113,43,hanley et al. 2020,Hanley et al. 2020,STEM,3-6,0.3206,0.032761,0.181,168,259,60,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0114,43,hanley et al. 2020,Hanley et al. 2020,STEM,3-6,0.1472,0.014448,0.1202,165,1260,101,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0115,44,hanselman et al. 2013,Hanselman et al. 2013,Reading,Mixed,0.099,0.013225,0.115,840,124,64,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0116,44,hanselman et al. 2013,Hanselman et al. 2013,Reading,Mixed,0.2087,0.041738,0.2043,361,335,93,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0117,45,heller et al. 2010,Heller et al. 2010,Reading,3-6,0.1053,0.003721,0.061,647,643,112,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0118,45,heller et al. 2010,Heller et al. 2010,Reading,3-6,0.1453,0.006659,0.0816,739,239,104,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0119,46,heller 2012,Heller 2012,Reading,7-12,-0.1285,0.005761,0.0759,510,1109,23,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
F0120,47,herman et al. 2022,Herman et al. 2022,Other,Mixed,-0.0684,0.041128,0.2028,1204,932,33,0.2,yes,yes,SYNTHETIC,SYNTHETIC,,fixture,n/a,SYNTHETIC FIXTURE -- not real data
